"","MARVEL","DC"
"abilities",4,0
"ability",1,1
"accept",0,1
"accident",1,0
"acrobat",0,1
"acrobatic",1,0
"across",0,1
"act",0,1
"actions",1,1
"active",0,1
"adoptive",0,1
"advanced",1,0
"affairs",1,0
"afghan",1,0
"agency",0,1
"agent",2,0
"ago",1,0
"aka",1,0
"alien",4,3
"alliance",1,0
"allies",3,0
"allout",1,0
"allpowerful",1,0
"ally",1,1
"alongside",1,0
"also",1,0
"altered",1,0
"alterego",1,1
"alternate",1,0
"alters",1,0
"amazonian",0,1
"ambitious",2,0
"america",3,0
"among",0,1
"amongst",1,0
"amorous",0,1
"anarchy",0,1
"ancient",1,1
"angry",1,0
"another",1,0
"antimutant",1,0
"antman",1,0
"apart",1,0
"apocalypse",0,1
"archenemy",1,0
"arent",1,0
"armed",1,0
"armor",1,0
"army",1,0
"arrogant",1,0
"arthur",0,2
"artifact",0,1
"arts",2,0
"asgard",2,0
"assassin",1,0
"assassinforhire",1,0
"assassins",1,0
"assemble",1,0
"assembles",1,0
"astonishing",1,0
"astronauts",1,0
"atlantis",0,1
"attacks",1,0
"attempt",2,0
"attempts",1,0
"attorney",0,1
"avenger",1,0
"avengers",5,0
"aware",1,0
"awkward",1,0
"balance",1,0
"balances",2,0
"bane",0,1
"banner",3,0
"batman",0,7
"battle",2,1
"battles",1,0
"become",0,1
"becomes",7,3
"befalls",1,0
"begins",1,2
"beings",1,0
"beset",1,0
"bestows",0,1
"bigger",1,0
"billionaire",1,0
"bitten",2,0
"black",2,1
"blade",2,0
"blaze",2,0
"blinded",1,0
"blitz",1,0
"bloody",0,1
"bonded",1,0
"bonds",1,0
"bounty",1,1
"boy",1,1
"brilliant",2,0
"bringing",1,0
"brings",0,1
"brother",1,0
"brotherhood",1,0
"bruce",3,1
"brutal",1,1
"burglar",1,0
"businessman",1,2
"cable",1,0
"called",3,0
"calling",0,1
"canary",0,1
"captain",3,0
"captive",1,0
"carol",1,0
"cast",1,0
"castle",1,0
"cat",1,1
"catwoman",0,2
"caught",1,0
"causes",4,0
"causing",2,0
"cave",1,0
"celestial",1,0
"challenger",1,0
"challenging",1,0
"chance",1,0
"change",1,1
"changed",1,1
"chaos",0,1
"charles",1,0
"child",1,1
"circus",0,1
"city",3,5
"clash",1,0
"clownishly",0,1
"colleague",0,2
"colonel",1,0
"combat",1,0
"come",1,0
"comedian",0,1
"comes",3,0
"completely",0,1
"conflict",0,1
"confront",1,0
"conspiracy",1,0
"constantine",0,1
"contend",1,1
"contends",1,0
"corps",0,1
"corrupt",2,0
"corruption",0,1
"cosmic",1,0
"council",1,0
"countrys",1,0
"course",0,1
"crashes",0,1
"creates",1,0
"creed",1,0
"crime",2,3
"crimeridden",0,1
"criminal",0,2
"criminals",1,0
"cruel",0,1
"cure",2,0
"curry",0,1
"curse",1,0
"cyborg",1,0
"dangerous",1,1
"danvers",1,0
"dark",2,1
"darker",1,0
"darkness",1,0
"daughter",1,0
"deadpool",1,0
"dealing",1,0
"deals",0,1
"death",0,1
"decide",1,0
"decides",1,0
"declining",1,0
"defeat",2,0
"defenders",1,0
"defensive",0,1
"deformed",0,1
"demolishes",1,0
"demonologist",0,1
"dent",0,1
"desire",0,1
"desperate",1,0
"destiny",0,1
"destruction",2,1
"detective",0,1
"devastating",1,0
"devastation",1,0
"develop",1,0
"develops",1,0
"devil",1,0
"devils",2,0
"diana",0,3
"discovering",1,1
"discriminated",1,0
"disregarded",0,1
"district",0,1
"divide",1,0
"doctor",3,0
"doggedly",0,1
"doom",2,0
"dormant",1,0
"dose",1,0
"downward",0,1
"dracula",1,0
"drawn",1,0
"duck",1,0
"dying",0,2
"dyne",1,0
"early",1,0
"earth",6,5
"earths",2,0
"edward",0,1
"effort",1,0
"ego",1,0
"eight",0,1
"elderly",1,0
"elektra",1,0
"elves",1,0
"embark",1,0
"embarks",0,1
"embrace",2,0
"embroiled",1,0
"employee",0,1
"enacting",1,0
"encounter",1,0
"end",1,0
"endgame",1,0
"endowed",0,1
"enemy",3,3
"engineer",1,0
"enhanced",1,0
"enigmatic",0,1
"enlists",0,1
"enslaving",1,0
"entire",1,0
"entity",2,0
"erik",1,0
"eriks",1,0
"escalation",1,0
"escape",1,0
"evacuated",0,1
"even",1,3
"event",1,0
"events",2,0
"eventually",1,0
"evil",3,1
"evolved",1,0
"examining",0,1
"exchange",0,1
"exile",0,1
"exist",1,1
"exorcist",0,1
"experience",1,0
"experimentation",1,0
"experimented",1,0
"exposure",1,0
"extinct",1,0
"extreme",0,1
"face",1,1
"facetoface",0,1
"facility",1,0
"failed",1,0
"failing",1,0
"faith",0,1
"family",3,0
"fanatical",1,0
"fantastic",1,0
"fascinated",0,1
"father",4,0
"fathers",2,0
"fbi",2,0
"fearing",0,1
"featuring",1,0
"feeding",1,0
"fellow",2,0
"female",1,1
"fight",4,3
"fighting",1,0
"fights",1,0
"find",2,0
"finds",2,2
"finest",1,0
"first",0,3
"five",1,1
"fleck",0,1
"foe",1,0
"following",1,0
"force",0,2
"forced",0,1
"forces",2,0
"forever",1,0
"form",2,1
"former",1,2
"formidable",1,0
"forms",1,0
"forward",1,0
"foster",1,0
"fostered",0,1
"foulmouthed",1,0
"four",3,0
"frank",1,0
"free",0,1
"freedom",0,1
"freeze",0,1
"freezing",0,1
"friend",2,0
"fueled",0,1
"full",0,1
"future",2,0
"gain",1,0
"gains",2,1
"galactic",1,0
"galactus",1,0
"genetically",2,0
"genetics",1,0
"get",1,0
"gets",4,0
"ghost",2,0
"girl",0,1
"god",1,0
"goes",0,2
"going",1,0
"gone",0,1
"gotham",0,7
"government",2,1
