,title,year,genre1,genre2,genre3,mpa_rating,director,stars1,star2,star3,description,crit_consensus,entity
56,Superman,1978,Action,Adventure,Drama,PG,Richard Donner,Christopher Reeve,Margot Kidder,Gene Hackman,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",DC
57,Batman,1989,Action,Adventure,nan,PG-13,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",DC
58,Batman Returns,1992,Action,Crime,Fantasy,PG-13,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.","Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.",DC
59,Batman Forever,1995,Action,Adventure,nan,PG-13,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.","Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.",DC
60,Batman & Robin,1997,Action,Sci-Fi,nan,PG-13,Joel Schumacher,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,DC
61,Catwoman,2004,Action,Crime,Fantasy,PG-13,Pitof,Halle Berry,Sharon Stone,Benjamin Bratt,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.","Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",DC
62,Constantine,2005,Action,Fantasy,Horror,R,Francis Lawrence,Keanu Reeves,Rachel Weisz,Djimon Hounsou,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.","Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up: The Matrix.",DC
63,Batman Begins,2005,Action,Crime,Drama,PG-13,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",DC
64,Superman Returns,2006,Action,Adventure,Sci-Fi,PG-13,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.,DC
65,The Dark Knight,2008,Action,Crime,Drama,PG-13,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",DC
66,Watchmen,2009,Action,Drama,Mystery,R,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.",DC
67,Jonah Hex,2010,Action,Drama,Fantasy,PG-13,Jimmy Hayward,Josh Brolin,Megan Fox,John Malkovich,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.","Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",DC
68,Green Lantern,2011,Action,Adventure,Sci-Fi,PG-13,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.","Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",DC
