,title,year,genre1,genre2,genre3,mpa_rating,director,stars1,star2,star3,description,crit_consensus,entity
0,Howard the Duck,1986,Action,Adventure,Comedy,PG,Willard Huyck,Willard Huyck,Lea Thompson,Jeffrey Jones,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.,"While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances",MARVEL
1,Blade,1998,Action,Horror,Sci-Fi,R,Stephen Norrington,Stephen Norrington,Wesley Snipes,Stephen Dorff,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",MARVEL
2,X-Men,2000,Action,Adventure,Sci-Fi,PG-13,Bryan Singer,Bryan Singer,Patrick Stewart,Hugh Jackman,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.",MARVEL
3,Blade II,2002,Action,Fantasy,Horror,R,Guillermo del Toro,Guillermo del Toro,Wesley Snipes,Kris Kristofferson,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","Though Blade II offers more of what worked in the original, its plot and character development appear to have been left on the cutting room floor.",MARVEL
4,Spider-Man,2002,Action,Adventure,Sci-Fi,PG-13,Sam Raimi,Sam Raimi,Tobey Maguire,Kirsten Dunst,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.",MARVEL
5,Daredevil,2003,Action,Crime,Drama,PG-13,Mark Steven Johnson,Mark Steven Johnson,Ben Affleck,Jennifer Garner,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"While Ben Affleck fits the role and the story is sporadically interesting, Daredevil is ultimately a dull, brooding origin story that fails to bring anything new to the genre.",MARVEL
6,X2: X-Men United,2003,Action,Sci-Fi,Thriller,PG-13,Bryan Singer,Bryan Singer,Patrick Stewart,Hugh Jackman,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.",MARVEL
7,Hulk,2003,Action,Sci-Fi,,PG-13,Ang Lee,Ang Lee,Eric Bana,Jennifer Connelly,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.",MARVEL
8,The Punisher,2004,Action,Crime,Drama,R,Jonathan Hensleigh,Jonathan Hensleigh,Thomas Jane,John Travolta,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,A good cast fails to elevate this overly violent and by-the-numbers revenge flick.,MARVEL
9,Spider-Man 2,2004,Action,Adventure,Sci-Fi,PG-13,Sam Raimi,Sam Raimi,Tobey Maguire,Kirsten Dunst,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",MARVEL
10,Blade: Trinity,2004,Action,Adventure,Fantasy,R,David S. Goyer,David S. Goyer,Wesley Snipes,Kris Kristofferson,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.","Louder, campier, and more incoherent than its predecessors, Blade: Trinity seems content to emphasize style over substance and rehash familiar themes.",MARVEL
11,Elektra,2005,Action,Adventure,Crime,PG-13,Rob Bowman,Rob Bowman,Jennifer Garner,Goran Visnjic,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.","Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.",MARVEL
12,Fantastic Four,2005,Action,Adventure,Fantasy,PG-13,Tim Story,Tim Story,Ioan Gruffudd,Michael Chiklis,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.","Marred by goofy attempts at wit, subpar acting, and bland storytelling, Fantastic Four is a mediocre attempt to bring Marvel's oldest hero team to the big screen.",MARVEL
13,X-Men: The Last Stand,2006,Action,Adventure,Sci-Fi,PG-13,Brett Ratner,Brett Ratner,Patrick Stewart,Hugh Jackman,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","X-Men: The Last Stand provides plenty of mutant action for fans of the franchise, even if it does so at the expense of its predecessors' deeper character moments.",MARVEL
14,Ghost Rider,2007,Action,Fantasy,Thriller,PG-13,Mark Steven Johnson,Mark Steven Johnson,Nicolas Cage,Eva Mendes,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.","Ghost Rider is a sour mix of morose, glum histrionics amidst jokey puns and hammy dialogue.",MARVEL
15,Spider-Man 3,2007,Action,Adventure,Sci-Fi,PG-13,Sam Raimi,Sam Raimi,Tobey Maguire,Kirsten Dunst,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.",MARVEL
16,Fantastic Four: Rise of the Silver Surfer,2007,Action,Adventure,Fantasy,PG,Tim Story,Tim Story,Ioan Gruffudd,Jessica Alba,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,"While an improvement on its predecessor, Fantastic Four: Rise of the Silver Surfer is nevertheless a juvenile, simplistic picture that has little benefit beyond its special effects.",MARVEL
17,Iron Man,2008,Action,Adventure,Sci-Fi,PG-13,Jon Favreau,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",MARVEL
18,The Incredible Hulk,2008,Action,Adventure,Sci-Fi,PG-13,Louis Leterrier,Louis Leterrier,Edward Norton,Liv Tyler,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","The Incredible Hulk may not be quite the smashing success that fans of Marvel's raging behemoth might hope for, but it offers more than enough big green action to make up for its occasionally puny narrative.",MARVEL
19,Punisher: War Zone,2008,Action,Crime,Drama,R,Lexi Alexander,Lexi Alexander,Ray Stevenson,Dominic West,"Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.","Punisher: War Zone recalls the excessively violent, dialogue-challenged actioners of the 1980s, and coincidentally feels two decades out of date.",MARVEL
20,X-Men Origins: Wolverine,2009,Action,Sci-Fi,,PG-13,Gavin Hood,Gavin Hood,Hugh Jackman,Liev Schreiber,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","Though Hugh Jackman gives his all, he can't help X-Men Origins: Wolverine overcome a cliche-ridden script and familiar narrative.",MARVEL
21,Iron Man 2,2010,Action,Adventure,Sci-Fi,PG-13,Jon Favreau,Jon Favreau,Robert Downey Jr.,Mickey Rourke,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",MARVEL
22,Thor,2011,Action,Adventure,Fantasy,PG-13,Kenneth Branagh,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",MARVEL
23,X: First Class,2011,Action,Adventure,Sci-Fi,PG-13,Matthew Vaughn,Matthew Vaughn,James McAvoy,Michael Fassbender,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.",MARVEL
24,Captain America: The First Avenger,2011,Action,Adventure,Sci-Fi,PG-13,Joe Johnston,Joe Johnston,Chris Evans,Hugo Weaving,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a \Super-Soldier serum\"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.""","With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",MARVEL
